# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 1.0 beta 2.0 rho 0.1 ants 96 gens 150 nmax 14 depth 38 breakeven 0.0369
gen  87  best  12.354  eliteMean  12.637  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [87 s]
gen  88  best  12.361  eliteMean  12.661  ever  12.284 (8 craft, 298/298 cov, sumJi 10.284)  [88 s]
gen  89  best  12.268  eliteMean  12.508  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [89 s]
gen  90  best  12.325  eliteMean  12.513  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [89 s]
gen  91  best  12.323  eliteMean  12.574  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [90 s]
gen  92  best  12.304  eliteMean  12.608  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [91 s]
gen  93  best  12.321  eliteMean  12.700  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [91 s]
gen  94  best  12.324  eliteMean  12.658  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [92 s]
gen  95  best  12.369  eliteMean  12.709  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [93 s]
gen  96  best  12.298  eliteMean  12.698  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [94 s]
gen  97  best  12.328  eliteMean  12.617  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [94 s]
gen  98  best  12.279  eliteMean  12.661  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [95 s]
gen  99  best  12.353  eliteMean  12.452  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [96 s]
gen 100  best  12.327  eliteMean  12.580  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [96 s]
gen 101  best  12.333  eliteMean  12.786  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [97 s]
gen 102  best  12.341  eliteMean  12.665  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [97 s]
gen 103  best  12.356  eliteMean  12.666  ever  12.268 (8 craft, 298/298 cov, sumJi 10.268)  [98 s]
gen 104  best  12.259  eliteMean  12.568  ever  12.259 (8 craft, 298/298 cov, sumJi 10.259)  [99 s]
